node_id,label,node_type,group,importance,email,organization,department,position,date,stance_label,map_x_norm,map_y_norm,source_files,source_note
Rachel_Pantanal,Rachel Pantanal,person,Administration,4,Rachel.Pantanal@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to CIO,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Ruscella_Mies_Haber,Ruscella Mies Haber,person,Administration,4,Ruscella.Mies.Haber@gastech.com.kronos,GAStech-Kronos,Administration,Assistant to Engineering Group Manager,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Adra_Nubarron,Adra Nubarron,person,Engineering,3,Adra.Nubarron@gastech.com.kronos,GAStech-Kronos,Engineering,Geologist,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Axel_Calzas,Axel Calzas,person,Engineering,3,Axel.Calzas@gastech.com.kronos,GAStech-Kronos,Engineering,Drill Technician,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Birgitta_Frente,Birgitta Frente,person,Engineering,3,Birgitta.Frente@gastech.com.kronos,GAStech-Kronos,Engineering,Geologist,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Brand_Tempestad,Brand Tempestad,person,Engineering,3,Brand.Tempestad@gastech.com.kronos,GAStech-Kronos,Engineering,Drill Technician,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Elsa_Orilla,Elsa Orilla,person,Engineering,3,Elsa.Orilla@gastech.com.kronos,GAStech-Kronos,Engineering,Drill Technician,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Felix_Balas,Felix Balas,person,Engineering,3,Felix.Balas@gastech.com.kronos,GAStech-Kronos,Engineering,Engineer,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Gustav_Cazar,Gustav Cazar,person,Engineering,3,Gustav.Cazar@gastech.com.kronos,GAStech-Kronos,Engineering,Hydraulic Technician,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Isande_Borrasca,Isande Borrasca,person,Engineering,3,Isande.Borrasca@gastech.com.kronos,GAStech-Kronos,Engineering,Drill Technician,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Kare_Orilla,Kare Orilla,person,Engineering,3,Kare.Orilla@gastech.com.kronos,GAStech-Kronos,Engineering,Drill Technician,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Lars_Azada,Lars Azada,person,Engineering,3,Lars.Azada@gastech.com.kronos,GAStech-Kronos,Engineering,Engineer,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Lidelse_Dedos,Lidelse Dedos,person,Engineering,3,Lidelse.Dedos@gastech.com.kronos,GAStech-Kronos,Engineering,Engineering Group Manager,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Marin_Onda,Marin Onda,person,Engineering,3,Marin.Onda@gastech.com.kronos,GAStech-Kronos,Engineering,Drill Site Manager,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Vira_Frente,Vira Frente,person,Engineering,3,Vira.Frente@gastech.com.kronos,GAStech-Kronos,Engineering,Hydraulic Technician,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Ada_Campo_Corrente,Ada Campo-Corrente,person,Executive,4.0,Ada.Campo-Corrente@gastech.com.kronos,GAStech-Kronos,Executive,SVP/CIO,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Ingrid_Barranco,Ingrid Barranco,person,Executive,4.0,Ingrid.Barranco@gastech.com.kronos,GAStech-Kronos,Executive,SVP/CFO,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Orhan_Strum,Orhan Strum,person,Executive,4.0,Orhan.Strum@gastech.com.kronos,GAStech-Kronos,Executive,SVP/COO,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Sten_Sanjorge_Jr,Sten Sanjorge Jr.,person,Executive,4,Sten.Sanjorge Jr.@gastech.com.kronos,GAStech-Kronos,Executive,President/CEO,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Willem_Vasco_Pais,Willem Vasco-Pais,person,Executive,4.0,Willem.Vasco-Pais@gastech.com.kronos,GAStech-Kronos,Executive,Environmental Safety Advisor,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Adan_Morlun,Adan Morlun,person,Facilities,4,Adan.Morlun@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Albina_Hafon,Albina Hafon,person,Facilities,4,Albina.Hafon@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Benito_Hawelon,Benito Hawelon,person,Facilities,4,Benito.Hawelon@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Bertrand_Ovan,Bertrand Ovan,person,Facilities,3,Bertrand.Ovan@gastech.com.kronos,GAStech-Kronos,Facilities,Facilities Group Manager,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Cecilia_Morluniau,Cecilia Morluniau,person,Facilities,4,Cecilia.Morluniau@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Claudio_Hawelon,Claudio Hawelon,person,Facilities,4,Claudio.Hawelon@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Dante_Coginian,Dante Coginian,person,Facilities,4,Dante.Coginian@gastech.com.kronos,GAStech-Kronos,Facilities,Lead Janitor,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Dylan_Scozzese,Dylan Scozzese,person,Facilities,4,Dylan.Scozzese@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Emile_Arpa,Emile Arpa,person,Facilities,3,Emile.Arpa@gastech.com.kronos,GAStech-Kronos,Facilities,Janitor,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Henk_Mies,Henk Mies,person,Facilities,4,Henk.Mies@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Irene_Nant,Irene Nant,person,Facilities,4,Irene.Nant@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Valeria_Morlun,Valeria Morlun,person,Facilities,4,Valeria.Morlun@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Varro_Awelon,Varro Awelon,person,Facilities,3,Varro.Awelon@gastech.com.kronos,GAStech-Kronos,Facilities,Janitor,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Sten_Sanjorge,Sten Sanjorge,person,GAStech,5,,GAStech,,,,,,,entities.csv,news_mentions=158; email_mentions=139
Carman_Adrien,Carman Adrien,person,Government,2,,Government,,,,,,,entities.csv,news_mentions=0; email_mentions=0
President_Kapelou,President Kapelou,person,Government,5,,Government,,,,,,,entities.csv,news_mentions=85; email_mentions=0
Rufus_Drymiau,Rufus Drymiau,person,Government,2,,Government,,,,,,,entities.csv,news_mentions=0; email_mentions=0
Isak_Baza,Isak Baza,person,Information Technology,4,Isak.Baza@gastech.com.kronos,GAStech-Kronos,Information Technology,IT Technician,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Linnea_Bergen,Linnea Bergen,person,Information Technology,3,Linnea.Bergen@gastech.com.kronos,GAStech-Kronos,Information Technology,IT Group Manager,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Lucas_Alcazar,Lucas Alcazar,person,Information Technology,4,Lucas.Alcazar@gastech.com.kronos,GAStech-Kronos,Information Technology,IT Helpdesk,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Nils_Calixto,Nils Calixto,person,Information Technology,4,Nils.Calixto@gastech.com.kronos,GAStech-Kronos,Information Technology,IT Technician,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Sven_Flecha,Sven Flecha,person,Information Technology,4,Sven.Flecha@gastech.com.kronos,GAStech-Kronos,Information Technology,IT Technician,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Elian_Karel,Elian Karel,person,POK,5,,POK,,,,,,,entities.csv,news_mentions=99; email_mentions=0
Henk_Bodrogi,Henk Bodrogi,person,POK,3,,POK,,,,,,,entities.csv,news_mentions=34; email_mentions=0
Silvia_Marek,Silvia Marek,person,POK,2,,POK,,,,,,,entities.csv,news_mentions=0; email_mentions=0
Edvard_Vann,Edvard Vann,person,Security,3.0,Edvard.Vann@gastech.com.kronos,GAStech-Kronos,Security,Perimeter Control,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Felix_Resumir,Felix Resumir,person,Security,3,Felix.Resumir@gastech.com.kronos,GAStech-Kronos,Security,Security Group Manager,,,,,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
