employee_id,name,last_name,first_name,email,organization,department,position,reports_to,assistant_to,birth_date,birth_country,gender,citizenship_country,employment_start_date,military_service_branch,military_discharge_type,sent_count,received_count,total_email_activity,top_email_topics,is_executive,is_manager,is_security_related,is_missing_status,source_files,source_note
Kare_Orilla,Kare Orilla,Orilla,Kare,Kare.Orilla@gastech.com.kronos,GAStech-Kronos,Engineering,Drill Technician,Lidelse Dedos,,1964-02-29,Tethys,Female,Tethys,2005-11-12,,,16,165,181,general(139); technical(27); vip_visit(7); policy(6); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Elsa_Orilla,Elsa Orilla,Orilla,Elsa,Elsa.Orilla@gastech.com.kronos,GAStech-Kronos,Engineering,Drill Technician,Lidelse Dedos,,1982-04-12,Tethys,Female,Tethys,2004-05-26,,,20,169,189,general(141); technical(25); social(7); vip_visit(7); policy(6),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Brand_Tempestad,Brand Tempestad,Tempestad,Brand,Brand.Tempestad@gastech.com.kronos,GAStech-Kronos,Engineering,Drill Technician,Lidelse Dedos,,1979-05-14,Tethys,Male,Tethys,2004-06-12,,,15,164,179,general(136); technical(28); vip_visit(7); policy(6); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Lars_Azada,Lars Azada,Azada,Lars,Lars.Azada@gastech.com.kronos,GAStech-Kronos,Engineering,Engineer,Lidelse Dedos,,1973-04-30,Tethys,Male,Tethys,1995-12-01,TethanDefenseForceAir,GeneralDischarge,23,173,196,general(149); technical(32); vip_visit(7); policy(6); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Felix_Balas,Felix Balas,Balas,Felix,Felix.Balas@gastech.com.kronos,GAStech-Kronos,Engineering,Engineer,Lidelse Dedos,,1960-03-04,Tethys,Male,Tethys,2004-09-02,TethanDefenseForceNavy,HonorableDischarge,17,145,162,general(118); technical(29); vip_visit(7); policy(6); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Lidelse_Dedos,Lidelse Dedos,Dedos,Lidelse,Lidelse.Dedos@gastech.com.kronos,GAStech-Kronos,Engineering,Engineering Group Manager,Orhan Strum,,1952-02-14,Tethys,Female,Tethys,2003-03-01,,,20,157,177,general(150); technical(9); vip_visit(7); policy(6); file_sharing(3),no,yes,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Birgitta_Frente,Birgitta Frente,Frente,Birgitta,Birgitta.Frente@gastech.com.kronos,GAStech-Kronos,Engineering,Geologist,Lidelse Dedos,,1976-07-31,Tethys,Female,Tethys,1999-05-03,,,10,136,146,general(102); technical(24); social(7); vip_visit(7); policy(6),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Adra_Nubarron,Adra Nubarron,Nubarron,Adra,Adra.Nubarron@gastech.com.kronos,GAStech-Kronos,Engineering,Geologist,Lidelse Dedos,,1968-06-06,Tethys,Female,Tethys,1994-07-08,,,13,153,166,general(136); technical(13); vip_visit(8); policy(7); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Gustav_Cazar,Gustav Cazar,Cazar,Gustav,Gustav.Cazar@gastech.com.kronos,GAStech-Kronos,Engineering,Hydraulic Technician,Lidelse Dedos,,1986-11-06,Tethys,Male,Tethys,2009-09-15,,,17,139,156,general(131); technical(10); vip_visit(7); policy(6); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Vira_Frente,Vira Frente,Frente,Vira,Vira.Frente@gastech.com.kronos,GAStech-Kronos,Engineering,Hydraulic Technician,Lidelse Dedos,,1977-12-29,Tethys,Female,Tethys,2001-12-01,,,19,153,172,general(116); technical(35); vip_visit(7); file_sharing(6); policy(6),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Willem_Vasco_Pais,Willem Vasco-Pais,Vasco-Pais,Willem,Willem.Vasco-Pais@gastech.com.kronos,GAStech-Kronos,Executive,Environmental Safety Advisor,Sten Sanjorge Jr.,,1975-03-18,Tethys,Male,Tethys,2010-06-05,,,21,133,154,general(125); ipo(14); vip_visit(7); policy(6); social(2),yes,no,no,reported_named_in整理稿,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Sten_Sanjorge_Jr,Sten Sanjorge Jr.,Sanjorge Jr.,Sten,Sten.Sanjorge Jr.@gastech.com.kronos,GAStech-Kronos,Executive,President/CEO,,,1948-08-29,Tethys,Male,Tethys,1990-11-09,,,0,0,0,,yes,yes,no,reported_leadership_group,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Ingrid_Barranco,Ingrid Barranco,Barranco,Ingrid,Ingrid.Barranco@gastech.com.kronos,GAStech-Kronos,Executive,SVP/CFO,Sten Sanjorge Jr.,,1961-10-26,Tethys,Female,Tethys,2003-09-30,,,24,121,145,general(114); ipo(12); vip_visit(11); policy(6); social(2),yes,yes,no,reported_named_in整理稿,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Ada_Campo_Corrente,Ada Campo-Corrente,Campo-Corrente,Ada,Ada.Campo-Corrente@gastech.com.kronos,GAStech-Kronos,Executive,SVP/CIO,Sten Sanjorge Jr.,,1951-11-26,Tethys,Female,Tethys,2004-10-05,,,25,152,177,general(136); ipo(22); vip_visit(11); policy(6); social(2),yes,yes,no,reported_leadership_group,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Orhan_Strum,Orhan Strum,Strum,Orhan,Orhan.Strum@gastech.com.kronos,GAStech-Kronos,Executive,SVP/COO,Sten Sanjorge Jr.,,1963-10-18,Asteria,Male,Tethys,2003-08-07,,,21,137,158,general(136); ipo(7); vip_visit(7); policy(6); social(2),yes,yes,no,reported_named_in整理稿,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Bertrand_Ovan,Bertrand Ovan,Ovan,Bertrand,Bertrand.Ovan@gastech.com.kronos,GAStech-Kronos,Facilities,Facilities Group Manager,Orhan Strum,,1964-12-12,Tethys,Male,Tethys,1998-10-01,TethanDefenseForceAir,HonorableDischarge,25,114,139,general(120); vip_visit(10); policy(7); social(2),no,yes,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Emile_Arpa,Emile Arpa,Arpa,Emile,Emile.Arpa@gastech.com.kronos,GAStech-Kronos,Facilities,Janitor,Bertrand Ovan,,1992-10-01,Kronos,Male,Kronos,2013-03-18,ArmedForcesOfKronos,GeneralDischarge,12,181,193,general(146); vip_visit(20); policy(15); security(6); file_sharing(4),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Varro_Awelon,Varro Awelon,Awelon,Varro,Varro.Awelon@gastech.com.kronos,GAStech-Kronos,Facilities,Janitor,Bertrand Ovan,,1986-05-05,Kronos,Male,Kronos,2012-10-22,ArmedForcesOfKronos,GeneralDischarge,15,176,191,general(146); vip_visit(17); policy(15); security(11); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Dante_Coginian,Dante Coginian,Coginian,Dante,Dante.Coginian@gastech.com.kronos,GAStech-Kronos,Facilities,Lead Janitor,Bertrand Ovan,,1971-12-01,Kronos,Male,Kronos,1995-01-07,ArmedForcesOfKronos,GeneralDischarge,18,192,210,general(158); policy(18); security(17); vip_visit(15); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Albina_Hafon,Albina Hafon,Hafon,Albina,Albina.Hafon@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,Bertrand Ovan,,1987-06-14,Kronos,Female,Kronos,2009-09-12,ArmedForcesOfKronos,GeneralDischarge,26,231,257,general(208); vip_visit(17); policy(15); security(15); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Benito_Hawelon,Benito Hawelon,Hawelon,Benito,Benito.Hawelon@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,Bertrand Ovan,,1978-11-23,Kronos,Male,Kronos,2000-02-21,ArmedForcesOfKronos,HonorableDischarge,23,204,227,general(170); policy(21); vip_visit(16); security(13); social(7),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Claudio_Hawelon,Claudio Hawelon,Hawelon,Claudio,Claudio.Hawelon@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,Bertrand Ovan,,1983-08-13,Kronos,Male,Kronos,2007-03-13,ArmedForcesOfKronos,GeneralDischarge,24,217,241,general(188); vip_visit(19); policy(15); security(14); social(4),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Henk_Mies,Henk Mies,Mies,Henk,Henk.Mies@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,Bertrand Ovan,,1984-09-23,Kronos,Male,Kronos,2013-07-12,ArmedForcesOfKronos,HonorableDischarge,39,223,262,general(216); vip_visit(16); policy(13); security(11); file_sharing(4),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Valeria_Morlun,Valeria Morlun,Morlun,Valeria,Valeria.Morlun@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,Bertrand Ovan,,1981-09-22,Kronos,Female,Kronos,2003-12-02,ArmedForcesOfKronos,HonorableDischarge,13,202,215,general(174); vip_visit(15); policy(14); security(10); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Adan_Morlun,Adan Morlun,Morlun,Adan,Adan.Morlun@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,Bertrand Ovan,,1984-10-09,Kronos,Male,Kronos,2006-01-14,ArmedForcesOfKronos,HonorableDischarge,21,214,235,general(195); vip_visit(16); policy(15); security(7); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Cecilia_Morluniau,Cecilia Morluniau,Morluniau,Cecilia,Cecilia.Morluniau@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,Bertrand Ovan,,1988-09-02,Kronos,Female,Kronos,2009-04-30,ArmedForcesOfKronos,GeneralDischarge,16,200,216,general(170); security(18); vip_visit(15); policy(11); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Irene_Nant,Irene Nant,Nant,Irene,Irene.Nant@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,Bertrand Ovan,,1985-03-13,Kronos,Female,Kronos,2008-11-30,ArmedForcesOfKronos,GeneralDischarge,16,209,225,general(174); security(20); vip_visit(16); policy(13); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Dylan_Scozzese,Dylan Scozzese,Scozzese,Dylan,Dylan.Scozzese@gastech.com.kronos,GAStech-Kronos,Facilities,Truck Driver,Bertrand Ovan,,1986-05-25,Kronos,Male,Kronos,2007-03-01,ArmedForcesOfKronos,HonorableDischarge,34,220,254,general(197); security(25); vip_visit(19); policy(11); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Linnea_Bergen,Linnea Bergen,Bergen,Linnea,Linnea.Bergen@gastech.com.kronos,GAStech-Kronos,Information Technology,IT Group Manager,Orhan Strum,,1969-07-10,Tethys,Female,Tethys,2004-07-04,,,13,81,94,general(77); vip_visit(7); policy(6); social(4),no,yes,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Lucas_Alcazar,Lucas Alcazar,Alcazar,Lucas,Lucas.Alcazar@gastech.com.kronos,GAStech-Kronos,Information Technology,IT Helpdesk,Linnea Bergen,,1990-04-17,Tethys,Male,Tethys,2010-11-30,,,59,214,273,general(182); technical(56); security(20); vip_visit(7); policy(6),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Isak_Baza,Isak Baza,Baza,Isak,Isak.Baza@gastech.com.kronos,GAStech-Kronos,Information Technology,IT Technician,Linnea Bergen,,1979-02-12,Tethys,Male,Tethys,2002-03-20,,,50,213,263,general(177); technical(58); policy(7); security(7); social(7),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Nils_Calixto,Nils Calixto,Calixto,Nils,Nils.Calixto@gastech.com.kronos,GAStech-Kronos,Information Technology,IT Technician,Linnea Bergen,,1982-03-26,Tethys,Male,Tethys,2004-10-19,,,54,205,259,general(204); technical(28); security(12); vip_visit(7); policy(6),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Sven_Flecha,Sven Flecha,Flecha,Sven,Sven.Flecha@gastech.com.kronos,GAStech-Kronos,Information Technology,IT Technician,Linnea Bergen,,1986-11-11,Tethys,Male,Tethys,2010-10-15,,,41,211,252,general(187); technical(50); vip_visit(7); policy(6); social(2),no,no,no,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Kanon_Herrero,Kanon Herrero,Herrero,Kanon,Kanon.Herrero@gastech.com.kronos,GAStech-Kronos,Security,Badging Office,Felix Resumir,,1984-10-03,Tethys,Male,Tethys,2008-11-20,,,12,113,125,general(89); vip_visit(28); security(15); policy(6); social(2),no,no,yes,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Varja_Lagos,Varja Lagos,Lagos,Varja,Varja.Lagos@gastech.com.kronos,GAStech-Kronos,Security,Badging Office,Felix Resumir,,1976-05-01,Tethys,Female,Tethys,2006-10-01,,,13,117,130,general(95); vip_visit(24); security(17); policy(6); patrol(3),no,no,yes,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Stenig_Fusil,Stenig Fusil,Fusil,Stenig,Stenig.Fusil@gastech.com.kronos,GAStech-Kronos,Security,Building Control,Felix Resumir,,1963-04-29,Tethys,Male,Tethys,2004-02-05,TethanDefenseForceArmy,HonorableDischarge,18,116,134,general(109); vip_visit(16); policy(6); social(2); security(1),no,no,yes,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Minke_Mies,Minke Mies,Mies,Minke,Minke.Mies@gastech.com.kronos,GAStech-Kronos,Security,Perimeter Control,Felix Resumir,,1992-11-19,Kronos,Male,Kronos,2013-05-22,ArmedForcesOfKronos,GeneralDischarge,11,133,144,general(106); vip_visit(24); security(11); file_sharing(6); policy(6),no,no,yes,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Hennie_Osvaldo,Hennie Osvaldo,Osvaldo,Hennie,Hennie.Osvaldo@gastech.com.kronos,GAStech-Kronos,Security,Perimeter Control,Felix Resumir,,1988-05-31,Kronos,Male,Kronos,2011-06-07,ArmedForcesOfKronos,GeneralDischarge,14,141,155,general(117); vip_visit(24); security(13); policy(6); file_sharing(4),no,no,yes,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
Isia_Vann,Isia Vann,Vann,Isia,Isia.Vann@gastech.com.kronos,GAStech-Kronos,Security,Perimeter Control,Felix Resumir,,1986-12-13,Kronos,Male,Kronos,2007-12-14,ArmedForcesOfKronos,GeneralDischarge,20,133,153,general(120); vip_visit(15); security(12); policy(6); technical(3),no,no,yes,unknown,EmployeeRecords.xlsx; email headers.csv; GAStechKronos-org-chart.pdf,职位/部门来自EmployeeRecords；上下级由org-chart半结构化提取；失踪名单在当前结构化数据中只可稳妥标注为leadership/group层级，14人完整名单需进一步核验。
