edge_id,source,target,source_label,target_label,relation_type,weight,evidence_type,evidence_id,date,description,confidence,source_file,quote_or_note
E00018,Sten_Sanjorge,President_Kapelou,Sten Sanjorge,President Kapelou,official_meeting,1,news,170,2014-01-20,IPO 后政府接待与高层互动,medium,relationships.csv,"GAStech leadership are in fact missing. The group was expected to arrive at the Government reception following this morning's meeting at... Miriam Avila, an administrative assistant at GAStech International, has confirme"
E00019,Elian_Karel,POK,Elian Karel,POK,leadership,1,news,134,2001-03-22,POK 领袖与运动象征,high,relationships.csv,"asure and Minister Nespola will reintroduce it later this year."" Bodrogi is the leader of the Protectors of Kronos, a grassroots environmental group with a mission to reverse the pollution caused by gas drilling in his hometown."
E00020,Elian_Karel,POK,Elian Karel,POK,leadership,1,news,465,2001-03-23,POK 领袖与运动象征,medium,relationships.csv,"ster will reintroducirá it to Nespola at the end of this year."" Bodrogi is the leader of the protectors of Kronos, an environmental group of the towns with a mission to stop the contamination caused by the gas that it perforates in h"
E00021,Elian_Karel,POK,Elian Karel,POK,leadership,1,news,168,2009-02-18,POK 领袖与运动象征,medium,relationships.csv,"of citizens from the Elodis area, has been revitalization under the charismatic leadership of Elian Karel. Government spokesman Rufus Drymiau said of today's POK rally, ""We have been concerned by a pattern of increasingly aggressive tactics by the Protectors of Kronos for some time now. In light of "
E00022,Henk_Bodrogi,POK,Henk Bodrogi,POK,founder,1,news,69,1998-03-19,POK 创始人之一,high,relationships.csv,a farmer whose family had been here for several generations. I caught up with Henk Bodrogi in town making purchases at the Osvaldo hardware store to repair a broken tractor. Bodrogi has farmed soybeans his ent
E00023,Henk_Bodrogi,POK,Henk Bodrogi,POK,founder,1,news,317,1998-03-21,POK 创始人之一,medium,relationships.csv,o he who family had here been for several generations. I took for above with Henk Bodrogi in the city that made purchases in the warehouse of the hardware of Osvaldo to repair an broken tractor. Bodrogi has c
E00024,Henk_Bodrogi,POK,Henk Bodrogi,POK,founder,1,news,502,1998-04-25,POK 创始人之一,medium,relationships.csv,luence of multinational corporations on the country of Kronos. I caught up with Henk Bodrogi in town making purchases at Ferro Hardware store to repair a broken tractor. Bodrogi has farmed soybeans his entire li
E00025,Sten_Sanjorge_Jr,Orhan_Strum,Sten Sanjorge Jr ,Orhan Strum,email_communication,1,email,11,2014-01-06 11:53,IPO 相关内部邮件通信,high,relationships.csv,IPO
E00026,Willem_Vasco_Pais,Orhan_Strum,Willem Vasco-Pais,Orhan Strum,email_communication,1,email,26,2014-01-06 12:56,IPO 相关内部邮件通信,high,relationships.csv,RE: IPO
E00027,Orhan_Strum,Orhan_Strum,Orhan Strum,Orhan Strum,email_communication,1,email,28,2014-01-06 13:05,IPO 相关内部邮件通信,high,relationships.csv,RE: IPO
E00028,Willem_Vasco_Pais,Orhan_Strum,Willem Vasco-Pais,Orhan Strum,email_communication,1,email,48,2014-01-06 14:19,IPO 相关内部邮件通信,high,relationships.csv,RE: IPO
E00029,Willem_Vasco_Pais,Orhan_Strum,Willem Vasco-Pais,Orhan Strum,email_communication,1,email,59,2014-01-06 14:57,IPO 相关内部邮件通信,high,relationships.csv,RE: IPO
E00030,GAStech,Kronos_Government,GAStech,Kronos Government,security_coordination,1,email,31,2014-01-06 13:14,2014-01-20 VIP 访问安保协调,medium,relationships.csv,Facilities preparations for VIP visit
E00031,GAStech,Kronos_Government,GAStech,Kronos Government,security_coordination,1,email,35,2014-01-06 13:24,2014-01-20 VIP 访问安保协调,medium,relationships.csv,Question - Protocol for VIP visit
E00032,GAStech,Kronos_Government,GAStech,Kronos Government,security_coordination,1,email,73,2014-01-06 16:38,2014-01-20 VIP 访问安保协调,medium,relationships.csv,RE: Facilities preparations for VIP visit
E00033,Asterian_Peoples_Army,GAStech,APA / Asterian People's Army,GAStech,regional_security_risk,3,curated,,,APA被作为区域绑架/安全风险因素提及，但不是Abila Police。,medium,curated_APA_split,split APA from Abila Police
E00034,Abila_Police,Kronos_Government,Abila Police,Kronos Government,law_enforcement_under_government,4,curated,,,Abila警方执行调查、采访和警戒，与政府执法体系相关。,medium,curated_APA_split,split APA from Asterian People's Army
E00035,Abila_Police,POK,Abila Police,POK,law_enforcement_conflict,4,news,,2014-01-20,警方怀疑/调查POK相关绑架；历史上POK抗议也与警务执法冲突。,medium,articles_lite.csv,Abila Police and POK must be separate from APA armed group.
E00036,Abila_Police,GAStech,Abila Police,GAStech,incident_response,4,news,,2014-01-20,绑架/失踪当日，Abila警察进入GAStech总部并采访员工。,medium,articles_lite.csv,incident response
E00037,Mat_Bramar,GAStech_Kronos,Mat Bramar,GAStech-Kronos,employed_by,1,employee_record,Mat_Bramar,2005-07-01,Assistant to CEO,high,EmployeeRecords.xlsx,
E00038,Mat_Bramar,Dept_Administration,Mat Bramar,Administration,member_of_department,1,employee_record,Mat_Bramar,,,high,EmployeeRecords.xlsx,
E00039,Mat_Bramar,Sten_Sanjorge_Jr,Mat Bramar,Sten Sanjorge Jr.,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00040,Anda_Ribera,GAStech_Kronos,Anda Ribera,GAStech-Kronos,employed_by,1,employee_record,Anda_Ribera,2009-10-30,Assistant to CFO,high,EmployeeRecords.xlsx,
E00041,Anda_Ribera,Dept_Administration,Anda Ribera,Administration,member_of_department,1,employee_record,Anda_Ribera,,,high,EmployeeRecords.xlsx,
E00042,Anda_Ribera,Ingrid_Barranco,Anda Ribera,Ingrid Barranco,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00043,Rachel_Pantanal,GAStech_Kronos,Rachel Pantanal,GAStech-Kronos,employed_by,1,employee_record,Rachel_Pantanal,2013-10-01,Assistant to CIO,high,EmployeeRecords.xlsx,
E00044,Rachel_Pantanal,Dept_Administration,Rachel Pantanal,Administration,member_of_department,1,employee_record,Rachel_Pantanal,,,high,EmployeeRecords.xlsx,
E00045,Rachel_Pantanal,Ada_Campo_Corrente,Rachel Pantanal,Ada Campo-Corrente,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00046,Linda_Lagos,GAStech_Kronos,Linda Lagos,GAStech-Kronos,employed_by,1,employee_record,Linda_Lagos,2010-02-01,Assistant to COO,high,EmployeeRecords.xlsx,
E00047,Linda_Lagos,Dept_Administration,Linda Lagos,Administration,member_of_department,1,employee_record,Linda_Lagos,,,high,EmployeeRecords.xlsx,
E00048,Linda_Lagos,Orhan_Strum,Linda Lagos,Orhan Strum,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00049,Ruscella_Mies_Haber,GAStech_Kronos,Ruscella Mies Haber,GAStech-Kronos,employed_by,1,employee_record,Ruscella_Mies_Haber,2003-04-02,Assistant to Engineering Group Manager,high,EmployeeRecords.xlsx,
E00050,Ruscella_Mies_Haber,Dept_Administration,Ruscella Mies Haber,Administration,member_of_department,1,employee_record,Ruscella_Mies_Haber,,,high,EmployeeRecords.xlsx,
E00051,Carla_Forluniau,GAStech_Kronos,Carla Forluniau,GAStech-Kronos,employed_by,1,employee_record,Carla_Forluniau,2005-03-07,Assistant to IT Group Manager,high,EmployeeRecords.xlsx,
E00052,Carla_Forluniau,Dept_Administration,Carla Forluniau,Administration,member_of_department,1,employee_record,Carla_Forluniau,,,high,EmployeeRecords.xlsx,
E00053,Cornelia_Lais,GAStech_Kronos,Cornelia Lais,GAStech-Kronos,employed_by,1,employee_record,Cornelia_Lais,2011-12-22,Assistant to Security Group Manager,high,EmployeeRecords.xlsx,
E00054,Cornelia_Lais,Dept_Administration,Cornelia Lais,Administration,member_of_department,1,employee_record,Cornelia_Lais,,,high,EmployeeRecords.xlsx,
E00055,Marin_Onda,GAStech_Kronos,Marin Onda,GAStech-Kronos,employed_by,1,employee_record,Marin_Onda,2003-04-13,Drill Site Manager,high,EmployeeRecords.xlsx,
E00056,Marin_Onda,Dept_Engineering,Marin Onda,Engineering,member_of_department,1,employee_record,Marin_Onda,,,high,EmployeeRecords.xlsx,
E00057,Marin_Onda,Lidelse_Dedos,Marin Onda,Lidelse Dedos,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00058,Isande_Borrasca,GAStech_Kronos,Isande Borrasca,GAStech-Kronos,employed_by,1,employee_record,Isande_Borrasca,2004-02-18,Drill Technician,high,EmployeeRecords.xlsx,
E00059,Isande_Borrasca,Dept_Engineering,Isande Borrasca,Engineering,member_of_department,1,employee_record,Isande_Borrasca,,,high,EmployeeRecords.xlsx,
E00060,Isande_Borrasca,Lidelse_Dedos,Isande Borrasca,Lidelse Dedos,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00061,Axel_Calzas,GAStech_Kronos,Axel Calzas,GAStech-Kronos,employed_by,1,employee_record,Axel_Calzas,1997-07-17,Drill Technician,high,EmployeeRecords.xlsx,
E00062,Axel_Calzas,Dept_Engineering,Axel Calzas,Engineering,member_of_department,1,employee_record,Axel_Calzas,,,high,EmployeeRecords.xlsx,
E00063,Axel_Calzas,Lidelse_Dedos,Axel Calzas,Lidelse Dedos,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00064,Kare_Orilla,GAStech_Kronos,Kare Orilla,GAStech-Kronos,employed_by,1,employee_record,Kare_Orilla,2005-11-12,Drill Technician,high,EmployeeRecords.xlsx,
E00065,Kare_Orilla,Dept_Engineering,Kare Orilla,Engineering,member_of_department,1,employee_record,Kare_Orilla,,,high,EmployeeRecords.xlsx,
E00066,Kare_Orilla,Lidelse_Dedos,Kare Orilla,Lidelse Dedos,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00067,Elsa_Orilla,GAStech_Kronos,Elsa Orilla,GAStech-Kronos,employed_by,1,employee_record,Elsa_Orilla,2004-05-26,Drill Technician,high,EmployeeRecords.xlsx,
E00068,Elsa_Orilla,Dept_Engineering,Elsa Orilla,Engineering,member_of_department,1,employee_record,Elsa_Orilla,,,high,EmployeeRecords.xlsx,
E00069,Elsa_Orilla,Lidelse_Dedos,Elsa Orilla,Lidelse Dedos,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00070,Brand_Tempestad,GAStech_Kronos,Brand Tempestad,GAStech-Kronos,employed_by,1,employee_record,Brand_Tempestad,2004-06-12,Drill Technician,high,EmployeeRecords.xlsx,
E00071,Brand_Tempestad,Dept_Engineering,Brand Tempestad,Engineering,member_of_department,1,employee_record,Brand_Tempestad,,,high,EmployeeRecords.xlsx,
E00072,Brand_Tempestad,Lidelse_Dedos,Brand Tempestad,Lidelse Dedos,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00073,Lars_Azada,GAStech_Kronos,Lars Azada,GAStech-Kronos,employed_by,1,employee_record,Lars_Azada,1995-12-01,Engineer,high,EmployeeRecords.xlsx,
E00074,Lars_Azada,Dept_Engineering,Lars Azada,Engineering,member_of_department,1,employee_record,Lars_Azada,,,high,EmployeeRecords.xlsx,
E00075,Lars_Azada,Lidelse_Dedos,Lars Azada,Lidelse Dedos,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00076,Felix_Balas,GAStech_Kronos,Felix Balas,GAStech-Kronos,employed_by,1,employee_record,Felix_Balas,2004-09-02,Engineer,high,EmployeeRecords.xlsx,
E00077,Felix_Balas,Dept_Engineering,Felix Balas,Engineering,member_of_department,1,employee_record,Felix_Balas,,,high,EmployeeRecords.xlsx,
E00078,Felix_Balas,Lidelse_Dedos,Felix Balas,Lidelse Dedos,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00079,Lidelse_Dedos,GAStech_Kronos,Lidelse Dedos,GAStech-Kronos,employed_by,1,employee_record,Lidelse_Dedos,2003-03-01,Engineering Group Manager,high,EmployeeRecords.xlsx,
E00080,Lidelse_Dedos,Dept_Engineering,Lidelse Dedos,Engineering,member_of_department,1,employee_record,Lidelse_Dedos,,,high,EmployeeRecords.xlsx,
E00081,Lidelse_Dedos,Orhan_Strum,Lidelse Dedos,Orhan Strum,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00082,Birgitta_Frente,GAStech_Kronos,Birgitta Frente,GAStech-Kronos,employed_by,1,employee_record,Birgitta_Frente,1999-05-03,Geologist,high,EmployeeRecords.xlsx,
E00083,Birgitta_Frente,Dept_Engineering,Birgitta Frente,Engineering,member_of_department,1,employee_record,Birgitta_Frente,,,high,EmployeeRecords.xlsx,
E00084,Birgitta_Frente,Lidelse_Dedos,Birgitta Frente,Lidelse Dedos,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00085,Adra_Nubarron,GAStech_Kronos,Adra Nubarron,GAStech-Kronos,employed_by,1,employee_record,Adra_Nubarron,1994-07-08,Geologist,high,EmployeeRecords.xlsx,
E00086,Adra_Nubarron,Dept_Engineering,Adra Nubarron,Engineering,member_of_department,1,employee_record,Adra_Nubarron,,,high,EmployeeRecords.xlsx,
E00087,Adra_Nubarron,Lidelse_Dedos,Adra Nubarron,Lidelse Dedos,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00088,Gustav_Cazar,GAStech_Kronos,Gustav Cazar,GAStech-Kronos,employed_by,1,employee_record,Gustav_Cazar,2009-09-15,Hydraulic Technician,high,EmployeeRecords.xlsx,
E00089,Gustav_Cazar,Dept_Engineering,Gustav Cazar,Engineering,member_of_department,1,employee_record,Gustav_Cazar,,,high,EmployeeRecords.xlsx,
E00090,Gustav_Cazar,Lidelse_Dedos,Gustav Cazar,Lidelse Dedos,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00091,Vira_Frente,GAStech_Kronos,Vira Frente,GAStech-Kronos,employed_by,1,employee_record,Vira_Frente,2001-12-01,Hydraulic Technician,high,EmployeeRecords.xlsx,
E00092,Vira_Frente,Dept_Engineering,Vira Frente,Engineering,member_of_department,1,employee_record,Vira_Frente,,,high,EmployeeRecords.xlsx,
E00093,Vira_Frente,Lidelse_Dedos,Vira Frente,Lidelse Dedos,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00094,Willem_Vasco_Pais,GAStech_Kronos,Willem Vasco-Pais,GAStech-Kronos,employed_by,1,employee_record,Willem_Vasco_Pais,2010-06-05,Environmental Safety Advisor,high,EmployeeRecords.xlsx,
E00095,Willem_Vasco_Pais,Dept_Executive,Willem Vasco-Pais,Executive,member_of_department,1,employee_record,Willem_Vasco_Pais,,,high,EmployeeRecords.xlsx,
E00096,Willem_Vasco_Pais,Sten_Sanjorge_Jr,Willem Vasco-Pais,Sten Sanjorge Jr.,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00097,Sten_Sanjorge_Jr,GAStech_Kronos,Sten Sanjorge Jr.,GAStech-Kronos,employed_by,1,employee_record,Sten_Sanjorge_Jr,1990-11-09,President/CEO,high,EmployeeRecords.xlsx,
E00098,Sten_Sanjorge_Jr,Dept_Executive,Sten Sanjorge Jr.,Executive,member_of_department,1,employee_record,Sten_Sanjorge_Jr,,,high,EmployeeRecords.xlsx,
E00099,Ingrid_Barranco,GAStech_Kronos,Ingrid Barranco,GAStech-Kronos,employed_by,1,employee_record,Ingrid_Barranco,2003-09-30,SVP/CFO,high,EmployeeRecords.xlsx,
E00100,Ingrid_Barranco,Dept_Executive,Ingrid Barranco,Executive,member_of_department,1,employee_record,Ingrid_Barranco,,,high,EmployeeRecords.xlsx,
E00101,Ingrid_Barranco,Sten_Sanjorge_Jr,Ingrid Barranco,Sten Sanjorge Jr.,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00102,Ada_Campo_Corrente,GAStech_Kronos,Ada Campo-Corrente,GAStech-Kronos,employed_by,1,employee_record,Ada_Campo_Corrente,2004-10-05,SVP/CIO,high,EmployeeRecords.xlsx,
E00103,Ada_Campo_Corrente,Dept_Executive,Ada Campo-Corrente,Executive,member_of_department,1,employee_record,Ada_Campo_Corrente,,,high,EmployeeRecords.xlsx,
E00104,Ada_Campo_Corrente,Sten_Sanjorge_Jr,Ada Campo-Corrente,Sten Sanjorge Jr.,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00105,Orhan_Strum,GAStech_Kronos,Orhan Strum,GAStech-Kronos,employed_by,1,employee_record,Orhan_Strum,2003-08-07,SVP/COO,high,EmployeeRecords.xlsx,
E00106,Orhan_Strum,Dept_Executive,Orhan Strum,Executive,member_of_department,1,employee_record,Orhan_Strum,,,high,EmployeeRecords.xlsx,
E00107,Orhan_Strum,Sten_Sanjorge_Jr,Orhan Strum,Sten Sanjorge Jr.,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00108,Bertrand_Ovan,GAStech_Kronos,Bertrand Ovan,GAStech-Kronos,employed_by,1,employee_record,Bertrand_Ovan,1998-10-01,Facilities Group Manager,high,EmployeeRecords.xlsx,
E00109,Bertrand_Ovan,Dept_Facilities,Bertrand Ovan,Facilities,member_of_department,1,employee_record,Bertrand_Ovan,,,high,EmployeeRecords.xlsx,
E00110,Bertrand_Ovan,Orhan_Strum,Bertrand Ovan,Orhan Strum,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00111,Emile_Arpa,GAStech_Kronos,Emile Arpa,GAStech-Kronos,employed_by,1,employee_record,Emile_Arpa,2013-03-18,Janitor,high,EmployeeRecords.xlsx,
E00112,Emile_Arpa,Dept_Facilities,Emile Arpa,Facilities,member_of_department,1,employee_record,Emile_Arpa,,,high,EmployeeRecords.xlsx,
E00113,Emile_Arpa,Bertrand_Ovan,Emile Arpa,Bertrand Ovan,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00114,Varro_Awelon,GAStech_Kronos,Varro Awelon,GAStech-Kronos,employed_by,1,employee_record,Varro_Awelon,2012-10-22,Janitor,high,EmployeeRecords.xlsx,
E00115,Varro_Awelon,Dept_Facilities,Varro Awelon,Facilities,member_of_department,1,employee_record,Varro_Awelon,,,high,EmployeeRecords.xlsx,
E00116,Varro_Awelon,Bertrand_Ovan,Varro Awelon,Bertrand Ovan,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00117,Dante_Coginian,GAStech_Kronos,Dante Coginian,GAStech-Kronos,employed_by,1,employee_record,Dante_Coginian,1995-01-07,Lead Janitor,high,EmployeeRecords.xlsx,
E00118,Dante_Coginian,Dept_Facilities,Dante Coginian,Facilities,member_of_department,1,employee_record,Dante_Coginian,,,high,EmployeeRecords.xlsx,
E00119,Dante_Coginian,Bertrand_Ovan,Dante Coginian,Bertrand Ovan,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00120,Albina_Hafon,GAStech_Kronos,Albina Hafon,GAStech-Kronos,employed_by,1,employee_record,Albina_Hafon,2009-09-12,Truck Driver,high,EmployeeRecords.xlsx,
E00121,Albina_Hafon,Dept_Facilities,Albina Hafon,Facilities,member_of_department,1,employee_record,Albina_Hafon,,,high,EmployeeRecords.xlsx,
E00122,Albina_Hafon,Bertrand_Ovan,Albina Hafon,Bertrand Ovan,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00123,Benito_Hawelon,GAStech_Kronos,Benito Hawelon,GAStech-Kronos,employed_by,1,employee_record,Benito_Hawelon,2000-02-21,Truck Driver,high,EmployeeRecords.xlsx,
E00124,Benito_Hawelon,Dept_Facilities,Benito Hawelon,Facilities,member_of_department,1,employee_record,Benito_Hawelon,,,high,EmployeeRecords.xlsx,
E00125,Benito_Hawelon,Bertrand_Ovan,Benito Hawelon,Bertrand Ovan,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00126,Claudio_Hawelon,GAStech_Kronos,Claudio Hawelon,GAStech-Kronos,employed_by,1,employee_record,Claudio_Hawelon,2007-03-13,Truck Driver,high,EmployeeRecords.xlsx,
E00127,Claudio_Hawelon,Dept_Facilities,Claudio Hawelon,Facilities,member_of_department,1,employee_record,Claudio_Hawelon,,,high,EmployeeRecords.xlsx,
E00128,Claudio_Hawelon,Bertrand_Ovan,Claudio Hawelon,Bertrand Ovan,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00129,Henk_Mies,GAStech_Kronos,Henk Mies,GAStech-Kronos,employed_by,1,employee_record,Henk_Mies,2013-07-12,Truck Driver,high,EmployeeRecords.xlsx,
E00130,Henk_Mies,Dept_Facilities,Henk Mies,Facilities,member_of_department,1,employee_record,Henk_Mies,,,high,EmployeeRecords.xlsx,
E00131,Henk_Mies,Bertrand_Ovan,Henk Mies,Bertrand Ovan,reports_to,2,org_chart,,,由组织架构图和EmployeeRecords推断的汇报关系,medium,GAStechKronos-org-chart.pdf,
E00132,Valeria_Morlun,GAStech_Kronos,Valeria Morlun,GAStech-Kronos,employed_by,1,employee_record,Valeria_Morlun,2003-12-02,Truck Driver,high,EmployeeRecords.xlsx,
