email_id,from_email,from_name,from_domain,from_org,to_emails,to_names,to_count,to_domains,to_orgs,date_raw,date,subject,thread_subject,topics
11,Sten.Sanjorge Jr.@gastech.com.tethys,Sten Sanjorge Jr ,gastech.com.tethys,GAStech-Tethys,Orhan.Strum@gastech.com.kronos; Willem.Vasco-Pais@gastech.com.kronos,Orhan Strum; Willem Vasco-Pais,2,gastech.com.kronos,GAStech-Kronos,1/6/2014 11:53,2014-01-06 11:53,IPO,IPO,ipo
12,Mat.Bramar@gastech.com.kronos,Mat Bramar,gastech.com.kronos,GAStech-Kronos,Mat.Bramar@gastech.com.kronos; Anda.Ribera@gastech.com.kronos; Rachel.Pantanal@gastech.com.kronos; Linda.Lagos@gastech.com.kronos; Ruscella.Mies.Haber@gastech.com.kronos; Carla.Forluniau@gastech.com.kronos; Cornelia.Lais@gastech.com.kronos,Mat Bramar; Anda Ribera; Rachel Pantanal; Linda Lagos; Ruscella Mies Haber; Carla Forluniau; Cornelia Lais,7,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:05,2014-01-06 12:05,Craft night,Craft night,
13,Lucas.Alcazar@gastech.com.kronos,Lucas Alcazar,gastech.com.kronos,GAStech-Kronos,Isak.Baza@gastech.com.kronos; Lucas.Alcazar@gastech.com.kronos,Isak Baza; Lucas Alcazar,2,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:05,2014-01-06 12:05,RE: GT-SeismicProcessorPro Bug Report,GT-SeismicProcessorPro Bug Report,
14,Ingrid.Barranco@gastech.com.kronos,Ingrid Barranco,gastech.com.kronos,GAStech-Kronos,Loreto.Bodrogi@gastech.com.kronos,Loreto Bodrogi,1,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:15,2014-01-06 12:15,RE: Plants,Plants,
15,Axel.Calzas@gastech.com.kronos,Axel Calzas,gastech.com.kronos,GAStech-Kronos,Felix.Balas@gastech.com.kronos; Lars.Azada@gastech.com.kronos; Elsa.Orilla@gastech.com.kronos; Birgitta.Frente@gastech.com.kronos; Kare.Orilla@gastech.com.kronos; Isande.Borrasca@gastech.com.kronos; Gustav.Cazar@gastech.com.kronos; Axel.Calzas@gastech.com.kronos; Vira.Frente@gastech.com.kronos,Felix Balas; Lars Azada; Elsa Orilla; Birgitta Frente; Kare Orilla; Isande Borrasca; Gustav Cazar; Axel Calzas; Vira Frente,9,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:15,2014-01-06 12:15,Wellhead flow rate data,Wellhead flow rate data,environment
16,Lars.Azada@gastech.com.kronos,Lars Azada,gastech.com.kronos,GAStech-Kronos,Birgitta.Frente@gastech.com.kronos; Lars.Azada@gastech.com.kronos; Felix.Balas@gastech.com.kronos,Birgitta Frente; Lars Azada; Felix Balas,3,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:21,2014-01-06 12:21,RE: Wellhead flow rate data,Wellhead flow rate data,environment
17,Stenig.Fusil@gastech.com.kronos,Stenig Fusil,gastech.com.kronos,GAStech-Kronos,Orhan.Strum@gastech.com.kronos,Orhan Strum,1,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:28,2014-01-06 12:28,RE: Service anniversary,Service anniversary,
18,Orhan.Strum@gastech.com.kronos,Orhan Strum,gastech.com.kronos,GAStech-Kronos,Stenig.Fusil@gastech.com.kronos,Stenig Fusil,1,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:28,2014-01-06 12:28,RE: Service anniversary,Service anniversary,
19,Albina.Hafon@gastech.com.kronos,Albina Hafon,gastech.com.kronos,GAStech-Kronos,Dante.Coginian@gastech.com.kronos; Irene.Nant@gastech.com.kronos; Dylan.Scozzese@gastech.com.kronos; Benito.Hawelon@gastech.com.kronos; Valeria.Morlun@gastech.com.kronos; Adan.Morlun@gastech.com.kronos; Emile.Arpa@gastech.com.kronos,Dante Coginian; Irene Nant; Dylan Scozzese; Benito Hawelon; Valeria Morlun; Adan Morlun; Emile Arpa,7,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:30,2014-01-06 12:30,RE: New refueling policies - Effective February 1,New refueling policies - Effective February 1,
20,Nils.Calixto@gastech.com.kronos,Nils Calixto,gastech.com.kronos,GAStech-Kronos,Nils.Calixto@gastech.com.kronos; Sven.Flecha@gastech.com.kronos,Nils Calixto; Sven Flecha,2,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:34,2014-01-06 12:34,RE: GT-SeismicProcessorPro Bug Report,GT-SeismicProcessorPro Bug Report,
21,Felix.Balas@gastech.com.kronos,Felix Balas,gastech.com.kronos,GAStech-Kronos,Birgitta.Frente@gastech.com.kronos; Lars.Azada@gastech.com.kronos; Felix.Balas@gastech.com.kronos,Birgitta Frente; Lars Azada; Felix Balas,3,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:36,2014-01-06 12:36,RE: Wellhead flow rate data,Wellhead flow rate data,environment
22,Felix.Balas@gastech.com.kronos,Felix Balas,gastech.com.kronos,GAStech-Kronos,Birgitta.Frente@gastech.com.kronos; Lars.Azada@gastech.com.kronos; Felix.Balas@gastech.com.kronos,Birgitta Frente; Lars Azada; Felix Balas,3,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:37,2014-01-06 12:37,RE: Wellhead flow rate data,Wellhead flow rate data,environment
23,Lars.Azada@gastech.com.kronos,Lars Azada,gastech.com.kronos,GAStech-Kronos,Birgitta.Frente@gastech.com.kronos; Lars.Azada@gastech.com.kronos; Felix.Balas@gastech.com.kronos,Birgitta Frente; Lars Azada; Felix Balas,3,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:39,2014-01-06 12:39,RE: Wellhead flow rate data,Wellhead flow rate data,environment
24,Loreto.Bodrogi@gastech.com.kronos,Loreto Bodrogi,gastech.com.kronos,GAStech-Kronos,Varja.Lagos@gastech.com.kronos; Hennie.Osvaldo@gastech.com.kronos; Loreto.Bodrogi@gastech.com.kronos; Inga.Ferro@gastech.com.kronos,Varja Lagos; Hennie Osvaldo; Loreto Bodrogi; Inga Ferro,4,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:44,2014-01-06 12:44,RE: Patrol schedule changes,Patrol schedule changes,security
25,Loreto.Bodrogi@gastech.com.kronos,Loreto Bodrogi,gastech.com.kronos,GAStech-Kronos,Ingrid.Barranco@gastech.com.kronos,Ingrid Barranco,1,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:48,2014-01-06 12:48,RE: Plants,Plants,
26,Willem.Vasco-Pais@gastech.com.kronos,Willem Vasco-Pais,gastech.com.kronos,GAStech-Kronos,Orhan.Strum@gastech.com.kronos; Willem.Vasco-Pais@gastech.com.kronos,Orhan Strum; Willem Vasco-Pais,2,gastech.com.kronos,GAStech-Kronos,1/6/2014 12:56,2014-01-06 12:56,RE: IPO,IPO,ipo
27,Anda.Ribera@gastech.com.kronos,Anda Ribera,gastech.com.kronos,GAStech-Kronos,Valeria.Morlun@gastech.com.kronos,Valeria Morlun,1,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:01,2014-01-06 13:01,Favor - borrow hedge trimmer,Favor - borrow hedge trimmer,
28,Orhan.Strum@gastech.com.kronos,Orhan Strum,gastech.com.kronos,GAStech-Kronos,Orhan.Strum@gastech.com.kronos; Willem.Vasco-Pais@gastech.com.kronos,Orhan Strum; Willem Vasco-Pais,2,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:05,2014-01-06 13:05,RE: IPO,IPO,ipo
29,Benito.Hawelon@gastech.com.kronos,Benito Hawelon,gastech.com.kronos,GAStech-Kronos,Adan.Morlun@gastech.com.kronos; Claudio.Hawelon@gastech.com.kronos; Valeria.Morlun@gastech.com.kronos; Varro.Awelon@gastech.com.kronos; Albina.Hafon@gastech.com.kronos; Emile.Arpa@gastech.com.kronos; Irene.Nant@gastech.com.kronos; Benito.Hawelon@gastech.com.kronos; Dante.Coginian@gastech.com.kronos,Adan Morlun; Claudio Hawelon; Valeria Morlun; Varro Awelon; Albina Hafon; Emile Arpa; Irene Nant; Benito Hawelon; Dante Coginian,9,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:07,2014-01-06 13:07,RE: New refueling policies - Effective February 1,New refueling policies - Effective February 1,
30,Felix.Resumir@gastech.com.kronos,Felix Resumir,gastech.com.kronos,GAStech-Kronos,Felix.Resumir@gastech.com.kronos; Hideki.Cocinaro@gastech.com.kronos; Inga.Ferro@gastech.com.kronos; Varja.Lagos@gastech.com.kronos; Kanon.Herrero@gastech.com.kronos; Stenig.Fusil@gastech.com.kronos; Hennie.Osvaldo@gastech.com.kronos; Isia.Vann@gastech.com.kronos; Edvard.Vann@gastech.com.kronos; Loreto.Bodrogi@gastech.com.kronos,Felix Resumir; Hideki Cocinaro; Inga Ferro; Varja Lagos; Kanon Herrero; Stenig Fusil; Hennie Osvaldo; Isia Vann; Edvard Vann; Loreto Bodrogi,10,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:08,2014-01-06 13:08,RE: Inspection request for site,Inspection request for site,
31,Bertrand.Ovan@gastech.com.kronos,Bertrand Ovan,gastech.com.kronos,GAStech-Kronos,Emile.Arpa@gastech.com.kronos; Varro.Awelon@gastech.com.kronos; Dante.Coginian@gastech.com.kronos; Albina.Hafon@gastech.com.kronos; Benito.Hawelon@gastech.com.kronos; Claudio.Hawelon@gastech.com.kronos; Henk.Mies@gastech.com.kronos; Valeria.Morlun@gastech.com.kronos; Adan.Morlun@gastech.com.kronos; Cecilia.Morluniau@gastech.com.kronos; Irene.Nant@gastech.com.kronos; Dylan.Scozzese@gastech.com.kronos,Emile Arpa; Varro Awelon; Dante Coginian; Albina Hafon; Benito Hawelon; Claudio Hawelon; Henk Mies; Valeria Morlun; Adan Morlun; Cecilia Morluniau; Irene Nant; Dylan Scozzese,12,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:14,2014-01-06 13:14,Facilities preparations for VIP visit,Facilities preparations for VIP visit,security
32,Felix.Balas@gastech.com.kronos,Felix Balas,gastech.com.kronos,GAStech-Kronos,Birgitta.Frente@gastech.com.kronos; Lars.Azada@gastech.com.kronos; Felix.Balas@gastech.com.kronos,Birgitta Frente; Lars Azada; Felix Balas,3,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:16,2014-01-06 13:16,RE: Wellhead flow rate data,Wellhead flow rate data,environment
33,Ingrid.Barranco@gastech.com.kronos,Ingrid Barranco,gastech.com.kronos,GAStech-Kronos,Loreto.Bodrogi@gastech.com.kronos,Loreto Bodrogi,1,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:21,2014-01-06 13:21,RE: Plants,Plants,
34,Birgitta.Frente@gastech.com.kronos,Birgitta Frente,gastech.com.kronos,GAStech-Kronos,Birgitta.Frente@gastech.com.kronos; Lars.Azada@gastech.com.kronos; Felix.Balas@gastech.com.kronos,Birgitta Frente; Lars Azada; Felix Balas,3,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:23,2014-01-06 13:23,RE: Wellhead flow rate data,Wellhead flow rate data,environment
35,Carla.Forluniau@gastech.com.kronos,Carla Forluniau,gastech.com.kronos,GAStech-Kronos,Mat.Bramar@gastech.com.kronos; Anda.Ribera@gastech.com.kronos; Rachel.Pantanal@gastech.com.kronos; Linda.Lagos@gastech.com.kronos; Ruscella.Mies.Haber@gastech.com.kronos; Carla.Forluniau@gastech.com.kronos; Cornelia.Lais@gastech.com.kronos,Mat Bramar; Anda Ribera; Rachel Pantanal; Linda Lagos; Ruscella Mies Haber; Carla Forluniau; Cornelia Lais,7,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:24,2014-01-06 13:24,Question - Protocol for VIP visit,Question - Protocol for VIP visit,security
36,Loreto.Bodrogi@gastech.com.kronos,Loreto Bodrogi,gastech.com.kronos,GAStech-Kronos,Ingrid.Barranco@gastech.com.kronos,Ingrid Barranco,1,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:26,2014-01-06 13:26,RE: Plants,Plants,
37,Anda.Ribera@gastech.com.kronos,Anda Ribera,gastech.com.kronos,GAStech-Kronos,Mat.Bramar@gastech.com.kronos; Anda.Ribera@gastech.com.kronos; Rachel.Pantanal@gastech.com.kronos; Linda.Lagos@gastech.com.kronos; Ruscella.Mies.Haber@gastech.com.kronos; Carla.Forluniau@gastech.com.kronos; Cornelia.Lais@gastech.com.kronos,Mat Bramar; Anda Ribera; Rachel Pantanal; Linda Lagos; Ruscella Mies Haber; Carla Forluniau; Cornelia Lais,7,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:29,2014-01-06 13:29,RE: Craft night,Craft night,
38,Claudio.Hawelon@gastech.com.kronos,Claudio Hawelon,gastech.com.kronos,GAStech-Kronos,Irene.Nant@gastech.com.kronos; Cecilia.Morluniau@gastech.com.kronos; Dylan.Scozzese@gastech.com.kronos,Irene Nant; Cecilia Morluniau; Dylan Scozzese,3,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:35,2014-01-06 13:35,Route suggestion for next shift,Route suggestion for next shift,
39,Hennie.Osvaldo@gastech.com.kronos,Hennie Osvaldo,gastech.com.kronos,GAStech-Kronos,Kanon.Herrero@gastech.com.kronos,Kanon Herrero,1,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:42,2014-01-06 13:42,Concert tickets,Concert tickets,
40,Cornelia.Lais@gastech.com.kronos,Cornelia Lais,gastech.com.kronos,GAStech-Kronos,Mat.Bramar@gastech.com.kronos; Anda.Ribera@gastech.com.kronos; Rachel.Pantanal@gastech.com.kronos; Linda.Lagos@gastech.com.kronos; Ruscella.Mies.Haber@gastech.com.kronos; Carla.Forluniau@gastech.com.kronos; Cornelia.Lais@gastech.com.kronos,Mat Bramar; Anda Ribera; Rachel Pantanal; Linda Lagos; Ruscella Mies Haber; Carla Forluniau; Cornelia Lais,7,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:48,2014-01-06 13:48,RE: Craft night,Craft night,
41,Valeria.Morlun@gastech.com.kronos,Valeria Morlun,gastech.com.kronos,GAStech-Kronos,Anda.Ribera@gastech.com.kronos,Anda Ribera,1,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:49,2014-01-06 13:49,RE: Favor - borrow hedge trimmer,Favor - borrow hedge trimmer,
42,Cecilia.Morluniau@gastech.com.kronos,Cecilia Morluniau,gastech.com.kronos,GAStech-Kronos,Ingrid.Barranco@gastech.com.kronos,Ingrid Barranco,1,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:54,2014-01-06 13:54,Supplies,Supplies,
43,Anda.Ribera@gastech.com.kronos,Anda Ribera,gastech.com.kronos,GAStech-Kronos,Valeria.Morlun@gastech.com.kronos,Valeria Morlun,1,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:59,2014-01-06 13:59,RE: Favor - borrow hedge trimmer,Favor - borrow hedge trimmer,
44,Adan.Morlun@gastech.com.kronos,Adan Morlun,gastech.com.kronos,GAStech-Kronos,Claudio.Hawelon@gastech.com.kronos; Benito.Hawelon@gastech.com.kronos; Henk.Mies@gastech.com.kronos; Dylan.Scozzese@gastech.com.kronos; Valeria.Morlun@gastech.com.kronos; Irene.Nant@gastech.com.kronos; Dante.Coginian@gastech.com.kronos; Emile.Arpa@gastech.com.kronos; Adan.Morlun@gastech.com.kronos; Varro.Awelon@gastech.com.kronos,Claudio Hawelon; Benito Hawelon; Henk Mies; Dylan Scozzese; Valeria Morlun; Irene Nant; Dante Coginian; Emile Arpa; Adan Morlun; Varro Awelon,10,gastech.com.kronos,GAStech-Kronos,1/6/2014 13:59,2014-01-06 13:59,RE: New refueling policies - Effective February 1,New refueling policies - Effective February 1,
45,Varro.Awelon@gastech.com.kronos,Varro Awelon,gastech.com.kronos,GAStech-Kronos,Benito.Hawelon@gastech.com.kronos; Cecilia.Morluniau@gastech.com.kronos; Varro.Awelon@gastech.com.kronos; Albina.Hafon@gastech.com.kronos; Dante.Coginian@gastech.com.kronos; Claudio.Hawelon@gastech.com.kronos,Benito Hawelon; Cecilia Morluniau; Varro Awelon; Albina Hafon; Dante Coginian; Claudio Hawelon,6,gastech.com.kronos,GAStech-Kronos,1/6/2014 14:01,2014-01-06 14:01,RE: Don't text and drive!,Don't text and drive!,
46,Dante.Coginian@gastech.com.kronos,Dante Coginian,gastech.com.kronos,GAStech-Kronos,Lucas.Alcazar@gastech.com.kronos,Lucas Alcazar,1,gastech.com.kronos,GAStech-Kronos,1/6/2014 14:05,2014-01-06 14:05,Congratulations on your service anniversary,Congratulations on your service anniversary,
47,Nils.Calixto@gastech.com.kronos,Nils Calixto,gastech.com.kronos,GAStech-Kronos,Nils.Calixto@gastech.com.kronos; Sven.Flecha@gastech.com.kronos,Nils Calixto; Sven Flecha,2,gastech.com.kronos,GAStech-Kronos,1/6/2014 14:16,2014-01-06 14:16,RE: GT-SeismicProcessorPro Bug Report,GT-SeismicProcessorPro Bug Report,
48,Willem.Vasco-Pais@gastech.com.kronos,Willem Vasco-Pais,gastech.com.kronos,GAStech-Kronos,Orhan.Strum@gastech.com.kronos; Willem.Vasco-Pais@gastech.com.kronos,Orhan Strum; Willem Vasco-Pais,2,gastech.com.kronos,GAStech-Kronos,1/6/2014 14:19,2014-01-06 14:19,RE: IPO,IPO,ipo
49,Benito.Hawelon@gastech.com.kronos,Benito Hawelon,gastech.com.kronos,GAStech-Kronos,Claudio.Hawelon@gastech.com.kronos; Dante.Coginian@gastech.com.kronos; Valeria.Morlun@gastech.com.kronos; Albina.Hafon@gastech.com.kronos; Emile.Arpa@gastech.com.kronos; Cecilia.Morluniau@gastech.com.kronos; Adan.Morlun@gastech.com.kronos; Benito.Hawelon@gastech.com.kronos; Varro.Awelon@gastech.com.kronos,Claudio Hawelon; Dante Coginian; Valeria Morlun; Albina Hafon; Emile Arpa; Cecilia Morluniau; Adan Morlun; Benito Hawelon; Varro Awelon,9,gastech.com.kronos,GAStech-Kronos,1/6/2014 14:19,2014-01-06 14:19,RE: New refueling policies - Effective February 1,New refueling policies - Effective February 1,
